title,tier,is_retired,diff,time_min,categories,slug,desc
Phantom Installer,PREMIUM,active,Easy,90,Malware Analysis|Endpoint Forensics,phantom-installer,"One installer looked just like the rest. By the time the damage was done, there was almost nothing left to investigate. Almost."
Operation Cronos - Lockbit,PREMIUM,active,Easy,60,Threat Intel,operation-cronos-lockbit,Follow the trail from a single file hash through one of the most destructive ransomware operations in history — and the international law enforcement effort that brought it down.
GhostConnect - TA583,PREMIUM,retired,Easy,90,Threat Hunting,ghostconnect-ta583,"Hunt Sysmon process trees, Chrome browsing artifacts, and Mark-of-the-Web streams to rebuild a the full kill chain from phishing delivery through AD enumeration to HTTPS exfiltration."
CursorJack,PREMIUM,active,Easy,120,Endpoint Forensics|Cloud Forensics,cursorjack,A developer's workstation is the new perimeter — trace an MCP-based intrusion from the first malicious deeplink through to a multi-region cloud compromise and follow the money on-chain.
Fork Bomb - TeamPCP,PREMIUM,retired,Easy,90,Endpoint Forensics|Threat Intel,fork-bomb-teampcp,Investigate a real-world supply chain attack from first alert to threat actor attribution — and find out how a single Python package nearly handed over the keys to an entire cloud environment.
DynamicEscalate,PREMIUM,active,Easy,60,Cloud Forensics,dynamicescalate,"Reconstruct a Microsoft Entra ID privilege escalation chain by correlating Exchange message traces, Azure AD telemetry, and unified audit logs using KQL."
AbuSESer - Trufflenet,PREMIUM,active,Easy,60,Cloud Forensics,abuseser-trufflenet,Investigate a complex Business Email Compromise attack by correlating AWS CloudTrail and Lambda logs in CloudWatch Logs Insights to reconstruct the attack timeline and attribute TTPs.
ContainerBreak - Rootkit Trail,PREMIUM,retired,Easy,60,Endpoint Forensics,containerbreak-rootkit-trail,
RediShell - Kinsing,PREMIUM,retired,Easy,60,Network Forensics,redishell-kinsing,"The packet capture was killed mid-attack. Race against incomplete evidence to reconstruct how attackers breached Jenkins, pivoted through containers, and escaped to the host"
Maranhao,PREMIUM,retired,Easy,60,Endpoint Forensics,maranhao,"Investigate a trojanized game installer by analyzing browser history, logs, registry hives, and filesystem artifacts to map the full attack chain and extract IOCs."
Rogue Azure,PREMIUM,active,Easy,60,Cloud Forensics,rogue-azure,"Reconstruct a multi-stage Azure attack timeline by analyzing Entra ID, Audit, and Storage Blob logs using Kusto Query Language to identify initial access, persistence, privilege escalation, and data exfiltration."
RevengeHotels APT,PREMIUM,retired,Easy,120,Endpoint Forensics,revengehotels-apt,"Reconstruct multi-stage APT attack chain by correlating email, browser, Sysmon logs, and registry artifacts to identify persistence mechanisms and data exfiltration techniques."
Lockdown,FREE,active,Easy,60,Network Forensics,lockdown,"Reconstruct a multi-stage intrusion by analyzing network traffic, memory, and malware artifacts using Wireshark, Volatility, and VirusTotal, mapping findings to MITRE ATT&CK."
XLMRat,FREE,retired,Easy,30,Network Forensics,xlmrat,"Analyze network traffic to identify malware delivery, deobfuscate scripts, and map attacker techniques using MITRE ATT&CK, focusing on stealthy execution and reflective code loading."
SigmaPredator,PREMIUM,retired,Easy,60,Detection Engineering,sigmapredator,"Design and validate Sigma rules to detect event log clearing techniques across CLI, WMI, and PowerShell execution artifacts."
OpenCTI 101 - APT29,PREMIUM,retired,Easy,60,Threat Intel,opencti-101-apt29,Identify threat actor TTPs and IOCs for APT29 by navigating and querying the OpenCTI threat intelligence platform.
AWSWatcher,PREMIUM,retired,Easy,45,Cloud Forensics,awswatcher,"Analyze AWS GuardDuty, CloudTrail, S3, and CloudWatch logs to identify attacker actions, exploited misconfigurations, and reconstruct an AWS cloud security incident."
Tusk Infostealer,FREE,retired,Easy,30,Threat Intel,tusk-infostealer,"Analyze threat intelligence and malware configuration to identify TTPs, extract IOCs, and track cryptocurrency flow of the Tusk Infostealer campaign."
FakeGPT,FREE,retired,Easy,0,Malware Analysis,fakegpt,"Analyze a malicious Chrome extension's code and behavior to identify data theft mechanisms, covert exfiltration via `<img>` tags, and anti-analysis techniques."
Openfire,PREMIUM,retired,Easy,45,Network Forensics,openfire,"Reconstruct an Openfire server attack timeline by analyzing PCAP files with Wireshark to identify login attempts, plugin uploads, command execution, and the exploited CVE-2023-32315 vulnerability."
DanaBot,FREE,retired,Easy,30,Network Forensics,danabot,"Analyze network traffic using Wireshark to identify DanaBot initial access, deobfuscate malicious JavaScript, and extract IOCs like IPs, file hashes, and execution processes."
Reveal,FREE,retired,Easy,45,Endpoint Forensics,reveal,"Reconstruct a multi-stage attack by analyzing Windows memory dumps using Volatility 3, identifying malicious processes, command lines, and correlating findings with threat intelligence."
JetBrains,PREMIUM,retired,Easy,60,Network Forensics,jetbrains,"Analyze network traffic using Wireshark to identify web server exploitation, extract attacker IOCs and persistence mechanisms, and map attack techniques to MITRE ATT&CK."
NerisBot,PREMIUM,retired,Easy,30,Threat Hunting,nerisbot,"Reconstruct the attack timeline by correlating Suricata and Zeek logs in Splunk to identify malicious IPs, C2 domains, targeted hosts, and file hashes."
Red Stealer,FREE,retired,Easy,30,Threat Intel,red-stealer,"Analyze a suspicious executable using VirusTotal and MalwareBazaar to extract IOCs, identify C2 infrastructure, MITRE ATT&CK techniques, and privilege escalation mechanisms."
XXE Infiltration,PREMIUM,retired,Easy,45,Network Forensics,xxe-infiltration,"Analyze PCAP data using Wireshark to identify XXE vulnerabilities, extract compromised credentials, and detect web shell uploads for persistence."
3CX Supply Chain,FREE,retired,Easy,45,Threat Intel,3cx-supply-chain,Reconstruct the 3CX supply chain attack by analyzing compromised MSI and DLL artifacts to identify TTPs and attribute the incident to a threat actor.
Volatility Traces,PREMIUM,retired,Easy,30,Endpoint Forensics,volatility-traces,"Analyze a memory dump using Volatility to identify malicious processes, persistence mechanisms, defense evasion techniques, and map them to MITRE ATT&CK."
IcedID,FREE,retired,Easy,30,Threat Intel,icedid,"Investigate IcedID malware using VirusTotal and threat intelligence platforms to identify IOCs, associated threat actors, and execution mechanisms."
RetailBreach,PREMIUM,retired,Easy,45,Network Forensics,retailbreach,"Investigate network traffic with Wireshark to identify attacker TTPs, extract XSS payloads and session tokens, and determine exploited web application vulnerabilities."
Web Investigation,FREE,retired,Easy,45,Network Forensics,web-investigation,"Examine network traffic with Wireshark to investigate web server compromise, identify SQL injection, extract attacker credentials, and detect uploaded malware."
Ramnit,FREE,retired,Easy,30,Endpoint Forensics,ramnit,"Analyze a memory dump using Volatility to identify a malicious process, extract network IOCs, file hash, and compilation timestamp, correlating with external threat intelligence."
