title,tier,diff,time,cat,slug,desc
Phantom Installer,PREMIUM,Easy,1h 30m,"Malware Analysis, Endpoint Forensics",phantom-installer,"Malware Analysis, Endpoint Forensics"
Operation Cronos - Lockbit,PREMIUM,Easy,1h,Threat Intel,operation-cronos-lockbit,Follow the trail from a single file hash through one of the most destructive ransomware operations in history — and the international law enforcement effort that brought it down.
GhostConnect - TA583,PREMIUM,Easy,1h 30m,Threat Hunting,ghostconnect-ta583,"Hunt Sysmon process trees, Chrome browsing artifacts, and Mark-of-the-Web streams to rebuild a the full kill chain from phishing delivery through AD enumeration to HTTPS exfiltration."
CursorJack,PREMIUM,Easy,2h,"Endpoint Forensics, Cloud Forensics",cursorjack,"Endpoint Forensics, Cloud Forensics"
Fork Bomb - TeamPCP,PREMIUM,Easy,1h 30m,"Endpoint Forensics, Threat Intel",fork-bomb-teampcp,"Endpoint Forensics, Threat Intel"
DynamicEscalate,PREMIUM,Easy,1h,Cloud Forensics,dynamicescalate,"Reconstruct a Microsoft Entra ID privilege escalation chain by correlating Exchange message traces, Azure AD telemetry, and unified audit logs using KQL."
AbuSESer - Trufflenet,PREMIUM,Easy,1h,Cloud Forensics,abuseser-trufflenet,Investigate a complex Business Email Compromise attack by correlating AWS CloudTrail and Lambda logs in CloudWatch Logs Insights to reconstruct the attack timeline and attribute TTPs.
ContainerBreak - Rootkit Trail,PREMIUM,Easy,1h,Endpoint Forensics,containerbreak-rootkit-trail,
RediShell - Kinsing,PREMIUM,Easy,1h,Network Forensics,redishell-kinsing,"The packet capture was killed mid-attack. Race against incomplete evidence to reconstruct how attackers breached Jenkins, pivoted through containers, and escaped to the host"
Maranhao,PREMIUM,Easy,1h,Endpoint Forensics,maranhao,"Investigate a trojanized game installer by analyzing browser history, logs, registry hives, and filesystem artifacts to map the full attack chain and extract IOCs."
Rogue Azure,PREMIUM,Easy,1h,Cloud Forensics,rogue-azure,"Reconstruct a multi-stage Azure attack timeline by analyzing Entra ID, Audit, and Storage Blob logs using Kusto Query Language to identify initial access, persistence, privilege escalation, and data exfiltration."
RevengeHotels APT,PREMIUM,Easy,2h,Endpoint Forensics,revengehotels-apt,"Reconstruct multi-stage APT attack chain by correlating email, browser, Sysmon logs, and registry artifacts to identify persistence mechanisms and data exfiltration techniques."
Lockdown,FREE,Easy,1h,Network Forensics,lockdown,"Reconstruct a multi-stage intrusion by analyzing network traffic, memory, and malware artifacts using Wireshark, Volatility, and VirusTotal, mapping findings to MITRE ATT&CK."
XLMRat,PREMIUM,Easy,30m,Network Forensics,xlmrat,"Analyze network traffic to identify malware delivery, deobfuscate scripts, and map attacker techniques using MITRE ATT&CK, focusing on stealthy execution and reflective code loading."
SigmaPredator,PREMIUM,Easy,1h,Detection Engineering,sigmapredator,"Design and validate Sigma rules to detect event log clearing techniques across CLI, WMI, and PowerShell execution artifacts."
OpenCTI 101 - APT29,PREMIUM,Easy,1h,Threat Intel,opencti-101-apt29,Identify threat actor TTPs and IOCs for APT29 by navigating and querying the OpenCTI threat intelligence platform.
AWSWatcher,PREMIUM,Easy,45m,Cloud Forensics,awswatcher,"Analyze AWS GuardDuty, CloudTrail, S3, and CloudWatch logs to identify attacker actions, exploited misconfigurations, and reconstruct an AWS cloud security incident."
